Cueanexo,Nombre_EE,Sector,Ámbito,Código de localidad,Localidad,Primario,Secundario,Jardín,id_depto
620014900,ESCUELA PRIMARIA NRO. 30 ELISEO SCHIERONI,Estatal,Urbano,62007022,VIEDMA,1,0,0,62007
620022600,INSTITUTO SANTA CATALINA VIRGEN Y MARTIR,Privado,Urbano,62042001,ALLEN,1,0,0,62042
620044100,ESCUELA PRIMARIA NRO.206 VILLA MARGARITA,Estatal,Urbano,62042016,CINCO SALTOS,1,0,0,62042
620049800,ESCUELA PRIMARIA NRO.238 JORGE NEWBERY,Estatal,Urbano,62042028,GENERAL ROCA,1,0,0,62042
620076900,ESCUELA PRIMARIA NRO.354,Estatal,Urbano,62014005,CHOELE CHOEL,1,0,0,62014
660038400,SAN CAYETANO EX N° 857,Estatal,Urbano,66126172,PICHANAL,1,0,0,66126
660047600,JUANA MORO DE LOPEZ EX N° 136,Estatal,Urbano,66077030,LA CALDERA,1,0,0,66077
660162600,Escuela Nº 4856 - Comunidad Wichi  WICHI IHAYIS PHANTE,Estatal,Urbano,66133227,LA UNION,1,0,0,66133
700004700,ANTONIO DE LA TORRE,Estatal,Urbano,70077010,VILLA KRAUSE,1,0,0,70077
700014600,DR. BERNARDO HOUSSAY,Estatal,Rural,70014011,PUNTA DEL MONTE,1,0,0,70014
700014900,ISLA VICECOMODORO MARAMBIO EMER,Estatal,Rural,70014010,EL ALAMITO,1,1,0,70014
700032800,COLEGIO SAN VICENTE DE PAUL,Privado,Urbano,70077007,RAWSON,1,0,0,70077
700040800,DEAN GREGORIO FUNES,Estatal,Rural,70056003,BOCA DE LA QUEBRADA,1,1,0,70056
700044700,BENITO JUAREZ,Estatal,Rural,70021014,PUCHUZUN,1,1,0,70021
700046800,ROSARIO VERA PEÑALOZA,Estatal,Rural,70077001,COLONIA MEDANO DE ORO,1,0,0,70077
700051000,JUAN MARÍA GUTIERREZ,Estatal,Rural,70056029,PAMPA DEL CHAÑAR,1,1,0,70056
700051700,ESTEBAN AGUSTÍN GASCÓN,Estatal,Rural,70056043,LAS AGUADITAS,1,1,0,70056
700052700,COLEGIO NUESTRA SEÑORA DE TULUM,Privado,Urbano,70084005,RIVADAVIA,1,0,0,70084
700061400,FLORENTINO AMEGHINO,Estatal,Urbano,70028008,VILLA YUPANQUI,1,0,0,70028
700077600,ABENHAMAR RODRIGO,Estatal,Urbano,70098004,SANTA LUCIA,1,0,0,70098
700081900,PASO DE VALLE HERMOSO,Estatal,Urbano,70042001,CHIMBAS,1,0,0,70042
740025400,ESC.Nº 12 TOMASA G.DE QUIROGA,Estatal,Urbano,74035029,VILLA MERCEDES,1,0,0,74035
740075000,ESCUELA GENERATIVA ESTACIÓN DANZA - ARTE,Estatal,Urbano,74035029,VILLA MERCEDES,1,1,0,74035
780013200,ESCUELA PRIMARIA PROVINCIAL Nº 94 FRANCISCO P. MORENO,Estatal,Urbano,78035037,LOS ANTIGUOS,1,0,0,78035
780017500,ESCUELA PRIMARIA PROVINCIAL Nº 12 REMEDIOS ESCALADA DE SAN MARTÍN,Estatal,Urbano,78035040,PERITO MORENO,1,0,0,78035
780020800,ESCUELA PRIMARIA PROVINCIAL Nº 46 INTEGRACIÓN LATINOAMERICANA,Estatal,Urbano,78021078,RIO GALLEGOS,1,0,0,78021
780033500,ESCUELA PRIMARIA PROVINCIAL Nº 90 HUGO GIMÉNEZ AGÜERO,Estatal,Urbano,78021078,RIO GALLEGOS,1,0,0,78021
820029300,ESCUELA PART. INC. NRO 1341 SANTA RITA DE CASIA,Privado,Urbano,82063024,SANTA FE,1,0,0,82063
820039500,ESCUELA NRO 229 CORONEL MANUEL DORREGO,Estatal,Urbano,82119015,ROLDAN,1,0,0,82119
820089600,ESCUELA NRO 756 DOCTOR JOSE M. SERRANO,Estatal,Urbano,82084039,ROSARIO,1,0,0,82084
820098300,ESCUELA NRO 147 PROVINCIA DE ENTRE RIOS,Estatal,Urbano,82084039,ROSARIO,1,0,0,82084
820106000,ESCUELA NRO 6216 COMBATE DE LA VUELTA DE OBLIGADO,Estatal,Urbano,82028025,VILLA CONSTITUCION,1,0,0,82028
820112700,ESCUELA PART. INC. NRO 1197 PAULO VI,Privado,Urbano,82084039,ROSARIO,1,0,0,82084
820118001,C.E.R. NRO 486 DOMINGO FAUSTINO SARMIENTO,Estatal,Urbano,82105008,CENTENO,1,0,0,82105
820139200,ESCUELA NRO 6410 GENERAL MANUEL BELGRANO,Estatal,Urbano,82056005,CAÑADA DE GOMEZ,1,0,0,82056
820175400,ESCUELA PART. INC. NRO 1233 COLEGIO ESPAÑOL DE ROSARIO,Privado,Urbano,82084039,ROSARIO,1,0,0,82084
820192400,ESCUELA NRO 426 GENERAL SAN MARTIN,Estatal,Urbano,82035013,SANTA ROSA DE CALCHINES,1,0,0,82035
820194700,ESCUELA NRO 166 IGNACIO CRESPO,Estatal,Urbano,82063025,SANTO TOME,1,0,0,82063
820199500,ESCUELA NRO 532 JUAN BAUTISTA ALBERDI,Estatal,Urbano,82063011,LAGUNA PAIVA,1,0,0,82063
820206200,ESCUELA NRO 385 DOMINGO FAUSTINO SARMIENTO,Estatal,Rural,82021060,VILA,1,0,0,82021
820207000,ESCUELA NRO 1192 FORTIN DE SUNCHALES,Estatal,Rural,82021056,SUNCHALES,1,0,0,82021
820218700,ESCUELA NRO 6384 ALMIRANTE GUILLERMO BROWN,Estatal,Urbano,82063024,SANTA FE,1,0,0,82063
820219200,ESCUELA NRO 6044 CIUDAD DE RECONQUISTA,Estatal,Urbano,82049051,RECONQUISTA,1,0,0,82049
820240100,ESCUELA PART. INC. NRO 1135 PBRO ALCIDES CARLOS FRENCIA,Privado,Urbano,82063011,LAGUNA PAIVA,1,0,0,82063
820248300,ESCUELA PART. INC. NRO 1180 NUESTRA SEÑORA DE FATIMA,Privado,Urbano,82063024,SANTA FE,1,0,0,82063
820266700,ESCUELA NRO 1188 JUAN BAUTISTA BUSTOS,Estatal,Urbano,82084039,ROSARIO,1,0,0,82084
820283700,ESCUELA NRO 6016 ANGEL SANTIAGO YGOBONE,Estatal,Urbano,82105030,SAN GENARO,1,0,0,82105
820294000,ESCUELA NRO 6164 MALVINAS ARGENTINAS,Estatal,Urbano,82105009,CORONDA,1,0,0,82105
820298600,ESCUELA NRO 974 FRENCH Y BERUTI,Estatal,Rural,82126050,CAMPO NICOLI,1,0,0,82126
820299000,ESCUELA NRO 281 DOCTOR DALMACIO VELEZ SARSFIELD,Estatal,Urbano,82105031,SAN GENARO NORTE,1,0,0,82105
820324800,ESCUELA NRO 803 EMILIO D. ORTIZ,Estatal,Urbano,82126019,SASTRE,1,0,0,82126
860007400,ESCUELA Nº 150 ANDRES FERREYRA,Estatal,Urbano,86035053,LA BANDA,1,0,0,86035
860011800,ESCUELA Nº369,Estatal,Rural,86133043,LOS CERCOS,1,0,0,86133
860012800,ESCUELA Nº125 REPUBLICA DE ITALIA,Estatal,Rural,86154008,LA FEDERACION,1,0,0,86154
860027300,COLEGIO HERMANO HERMAS DE BRUIJN,Privado,Urbano,86049057,SANTIAGO DEL ESTERO,1,1,0,86049
860055300,ESCUELA N° 710,Estatal,Rural,86056077,TORO POZO,1,0,0,86056
860056900,ESCUELA N° 1169,Estatal,Rural,86056023,GUAYACAN POZO,1,0,0,86056
860095200,ESCUELA Nº317 CAMILO LELIS PALAVECINO,Estatal,Rural,86056081,VINAL POZO,1,0,0,86056
860139600,ESCUELA N° 28 DOMINGO FAUSTINO SARMIENTO,Estatal,Urbano,86049057,SANTIAGO DEL ESTERO,1,0,0,86049
860151601,ANEXO ESCUELA Nº 256 GAUCHO RIVERO,Estatal,Rural,86070050,LA INVERNADA NORTE,1,0,0,86070
860163400,ESCUELA Nº 204 JOSE JACINTO BERRUTTI,Estatal,Urbano,86042002,BANDERA,1,0,0,86042
860171200,COLEGIO CIUDAD DE BELTRAN,Privado,Urbano,86161001,BELTRAN,1,1,0,86161
860214100,ESCUELA Nº 1240 ESC DEL BICENTENARIO DE LA REVOLUCION DE MAYO,Estatal,Urbano,86049057,SANTIAGO DEL ESTERO,1,0,0,86049
900012100,ESC. N° 42 YOCOLIGUALA,Estatal,Rural,90112022,BENJAMIN PAZ,1,0,0,90112
900088000,ESC. MUNICIPAL  PETRONA JIMENEZ CAMPERO DE ADAMI,Estatal,Urbano,90119039,YERBA BUENA - MARCOS PAZ,1,0,0,90119
900193300,ESC. COSTANERA NORTE,Estatal,Urbano,90084004,SAN MIGUEL DE TUCUMAN,1,0,0,90084
062230600,ESCUELA GLOBAL,Privado,Urbano,06515004,PABLO NOGUES,0,1,0,6515
062240600,ESCUELA DE EDUCACIÓN SECUNDARIA Nº5,Estatal,Rural,06231004,ARBOLEDAS,0,1,0,6231
062246200,ESCUELA DE EDUCACIÓN SECUNDARIA Nº3,Estatal,Urbano,06007028,RIVERA,0,1,0,6007
062250300,COLEGIO SECUNDARIO LOS CEIBOS,Privado,Urbano,06588002,9 DE JULIO,0,1,0,6588
062295600,ALBORES ESCUELA SECUNDARIA,Privado,Urbano,06441022,JOSE HERNANDEZ,0,1,0,6441
062318600,ESCUELA DE EDUCACIÓN SECUNDARIA Nº21,Estatal,Urbano,06840013,PABLO PODESTA,0,1,0,6840
062326500,ESCUELA DE EDUCACIÓN SECUNDARIA Nº14,Estatal,Urbano,06134006,CAÑUELAS,0,1,0,6134
062336200,ESCUELA SECUNDARIA MODELO GRAN ARGENTINA,Privado,Urbano,06028008,LONGCHAMPS,0,1,0,6028
062390600,ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº2,Estatal,Urbano,06665013,PEREZ MILLAN,0,1,0,6665
062422500,COLEGIO MOLISANO MONFORTE,Privado,Urbano,06840017,VILLA BOSCH,0,1,0,6840
062425800,ESCUELA DE EDUCACIÓN SECUNDARIA Nº86,Estatal,Urbano,06560088,EL VERGEL,0,1,0,6560
062433900,COLEGIO DE LA CIUDAD DEL NORTE,Privado,Urbano,06805015,RINCON DE MILBERG,0,1,0,6805
069002100,BACHILLERATO DE BELLAS ARTES FRANCISCO A.DE SANTO,Estatal,Urbano,06441026,LA PLATA,0,1,0,6441
100005703,ESCUELA SECUNDARIA N°59 ANEXO -N°03- ESCUELA N°269,Estatal,Rural,10070140,LA PARADA,0,1,0,10070
100025000,ESCUELA SECUNDARIA N°15 LIB.GRAL. SAN MARTIN,Estatal,Urbano,10105074,TINOGASTA,0,1,0,10105
100073001,ESCUELA SECUNDARIA N°11 ABEL ACOSTA ANEXO -N°01- EN ESCUELA N°448 PBRO.BAUDILLO VASQUEZ,Estatal,Rural,10091025,FUERTE QUEMADO,0,1,0,10091
140023200,INSTITUTO NUESTRA MADRE DE LA MERCED,Privado,Urbano,14014005,CORDOBA,0,1,0,14014
140061700,INSTITUTO PIO X,Privado,Urbano,14014005,CORDOBA,0,1,0,14014
140078900,I.P.E.M. Nº 208  MARINA WAISMAN,Estatal,Urbano,14014005,CORDOBA,0,1,0,14014
140162200,INSTITUTO CARLOS SAAVEDRA LAMAS,Privado,Urbano,14161020,RIO TERCERO,0,1,0,14161
140176600,COLEGIO LA MERCED,Privado,Urbano,14098081,RIO CUARTO,0,1,0,14098
140209600,INSTITUTO EL TORREON,Privado,Urbano,14021114,COUNTRY CHACRAS DE LA VILLA,0,1,0,14021
140211100,INSTITUTO BACHILLERATO AGROTECNICO SAN JOSE,Privado,Urbano,14119027,VILLA DEL ROSARIO,0,1,0,14119
140227800,I.P.E.M. Nº 131 DR. JUAN MARTIN ALLENDE,Estatal,Urbano,14014005,CORDOBA,0,1,0,14014
140244200,I.P.E.M. Nº 82 SANTIAGO PENNA,Estatal,Urbano,14147023,DESPEÑADEROS,0,1,0,14147
